"Gene_ID","WT_LP1:read count","WT_LP2:read count","WT_EP1:read count","WT_EP2:read count","WT_SP1:read count","WT_SP2:read count"
"gene-SAUSA300_RS02000",771,856,321,312,336,336
"gene-SAUSA300_RS02005",422,538,929,832,932,1078
"gene-SAUSA300_RS02010",2818,3187,1537,1458,1475,1376
"gene-SAUSA300_RS02015",56,85,36,39,88,55
"gene-SAUSA300_RS02020",29479,29330,18229,15868,38174,39545
"gene-SAUSA300_RS02025",42782,40887,24287,21315,52809,51941
"gene-SAUSA300_RS02030",3086,3020,1191,987,1310,1315
"gene-SAUSA300_RS02035",3745,4232,4690,4109,7158,7574
"gene-SAUSA300_RS02040",11,15,482,475,754,831
"gene-SAUSA300_RS02045",9151,9925,3344,2998,3749,3696
"gene-SAUSA300_RS02050",2450,2427,1463,1290,2231,2395
"gene-SAUSA300_RS02055",637,719,1105,869,1578,1913
"gene-SAUSA300_RS02060",2736,2995,278,282,505,564
"gene-SAUSA300_RS02065",9520,10078,842,820,1384,1570
"gene-SAUSA300_RS02070",39247,38224,5642,4902,7477,7362
"gene-SAUSA300_RS02075",21758,22311,4010,3470,4819,4987
"gene-SAUSA300_RS02080",112,202,158,197,282,318
"gene-SAUSA300_RS02085",57,69,60,93,237,286
"gene-SAUSA300_RS02090",19,19,24,31,53,88
"gene-SAUSA300_RS02095",39,38,56,89,88,133
"gene-SAUSA300_RS02100",173,154,122,119,75,72
"gene-SAUSA300_RS02105",710,688,509,341,173,210
"gene-SAUSA300_RS02110",291,251,260,228,554,543
"gene-SAUSA300_RS02115",29,31,17,21,23,30
"gene-SAUSA300_RS02120",26,44,52,32,64,61
"gene-SAUSA300_RS02125",0,0,0,0,0,0
"gene-SAUSA300_RS02130",33,20,21,28,40,42
"gene-SAUSA300_RS02135",27,24,18,7,13,9
"gene-SAUSA300_RS02145",79,70,21,32,24,10
"gene-SAUSA300_RS02150",112,177,41,28,43,53
"gene-SAUSA300_RS02155",60,75,26,26,34,34
"gene-SAUSA300_RS02160",35,45,14,5,12,8
"gene-SAUSA300_RS02165",98,150,60,91,71,81
"gene-SAUSA300_RS02170",0,0,0,0,0,2
"gene-SAUSA300_RS02175",772,725,349,359,289,224
"gene-SAUSA300_RS02180",1403,1559,550,432,565,514
"gene-SAUSA300_RS02185",131,125,29,12,54,37
"gene-SAUSA300_RS02190",433,386,83,71,155,112
"gene-SAUSA300_RS02195",248,323,1939,2021,11250,12694
"gene-SAUSA300_RS02200",75,80,57,53,42,64
"gene-SAUSA300_RS02205",83,102,75,76,72,48
"gene-SAUSA300_RS02215",75,73,31,36,13,14
"gene-SAUSA300_RS02220",74,80,14,16,31,31
"gene-SAUSA300_RS02225",57,88,23,19,14,18
"gene-SAUSA300_RS02230",70,80,9,22,25,28
"gene-SAUSA300_RS02235",127,127,39,47,38,52
"gene-SAUSA300_RS02240",162,199,66,68,49,57
"gene-SAUSA300_RS02245",2229,2930,1669,1736,1819,2220
"gene-SAUSA300_RS02250",2422,2778,1866,2156,1873,2047
"gene-SAUSA300_RS02255",103,113,67,87,73,95
"gene-SAUSA300_RS02260",181,177,165,160,220,240
"gene-SAUSA300_RS02265",689,615,342,246,501,542
"gene-SAUSA300_RS02270",42,77,1516,1275,712,662
"gene-SAUSA300_RS02280",3516,3820,124,103,81,98
"gene-SAUSA300_RS02285",16632,15753,613,531,613,625
"gene-SAUSA300_RS02290",2126,2470,541,442,552,647
"gene-SAUSA300_RS02300",2193,2507,549,568,343,322
"gene-SAUSA300_RS02305",1258,1422,267,242,205,238
"gene-SAUSA300_RS02310",3,2,0,4,1,1
"gene-SAUSA300_RS02315",1442,1418,53,62,59,49
"gene-SAUSA300_RS02320",1054,1178,445,368,351,362
