"gene_id","camSd69_rep1","camSd69_rep2","camSd69_rep3","camSKI_rep1","camSKI_rep2","camSKI_rep3","LAC_wt_rep1","LAC_wt_rep2","LAC_wt_rep3","LAC_ΔcamS_rep1","LAC_ΔcamS_rep2","LAC_ΔcamS_rep3"
"adhP",6951,5141,7347,5298,3963,4747,4555,5255,6641,5764,4469,7610
"SAUSA300_RS03195",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS03200",992,1143,997,648,808,572,469,822,760,884,1041,1151
"argS",12233,12181,12921,8414,10545,7549,7617,11591,9261,10911,11049,13990
"SAUSA300_RS03210",335,347,315,304,507,254,302,492,400,351,283,365
"SAUSA300_RS03215",1293,1496,1392,1481,2050,1194,1134,1837,1829,1379,1336,1537
"SAUSA300_RS03220",1618,1581,1549,1305,1803,1097,1351,1953,1397,1521,1571,1653
"SAUSA300_RS03225",1408,1345,1333,1111,1676,1009,1061,1674,1320,1393,1205,1455
"SAUSA300_RS03230",3446,3247,3232,2417,3691,2032,2278,3865,2983,3293,3041,3600
"SAUSA300_RS03235",96908,85690,137248,68652,70957,64418,54106,77849,83486,75474,71779,114910
"SAUSA300_RS03240",2623,2443,3310,2644,2884,2360,2148,2845,1910,2199,2074,2946
"SAUSA300_RS03245",1796,2185,2777,1825,2836,1692,1551,3255,2557,1253,1950,2153
"sarA",11545,9060,17445,9962,16792,10805,9837,23020,9730,8855,6562,15627
"SAUSA300_RS03255",805,861,866,1003,1331,893,779,1463,714,899,761,1043
"SAUSA300_RS03260",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS03265",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS03270",0,0,0,0,0,0,0,0,0,0,0,0
"mnhA2",0,0,0,0,0,0,0,0,0,0,0,0
"mnhB2",1,1,0,0,0,0,0,0,0,2,0,0
"mnhC2",28,22,19,30,11,9,15,14,17,21,14,26
"mnhD2",387,336,381,334,429,277,316,382,324,361,289,410
"mnhE2",51,33,31,43,72,53,38,81,30,44,22,69
"mnhF2",68,75,98,89,135,75,60,142,111,100,91,119
"mnhG2",258,228,268,260,386,276,220,319,290,249,203,291
"SAUSA300_RS03310",5350,5416,5345,3980,5098,3546,4053,6215,4141,4316,4887,5371
"SAUSA300_RS03315",124444,121120,120879,148514,209130,127770,136251,212023,159295,134864,98164,137066
"SAUSA300_RS03320",110041,132399,106758,127323,172520,107616,120393,170769,117255,105486,104067,127525
"SAUSA300_RS03325",123208,145971,118459,128115,188637,113103,117780,196914,154973,123876,115894,139522
"SAUSA300_RS03330",9149,9720,9175,6426,8217,5422,5414,9770,8189,8667,7754,8960
"SAUSA300_RS03335",227,249,242,179,253,148,119,216,139,215,211,236
"SAUSA300_RS03340",1169,1343,949,816,1269,667,920,1239,933,1115,1279,1174
"tagH",7371,8352,7304,5660,7557,4977,5079,7768,5938,7067,8026,7914
"tagG",6751,6380,6834,5801,8842,5036,5346,9096,6651,7042,6383,7471
"SAUSA300_RS03355",5153,5874,5310,5895,7158,4830,4676,7958,7239,4386,4860,5116
"SAUSA300_RS03360",5640,5827,6102,5654,7507,5136,5272,8198,6423,5242,5174,5895
"tagD",347,426,446,320,478,296,253,448,438,307,349,384
"pbp4",2905,3124,2773,2944,3404,2291,2357,3453,2382,2965,2633,3428
"SAUSA300_RS03375",151116,143894,154042,137975,163009,116818,122319,163513,132189,147654,114491,162216
"SAUSA300_RS03380",9316,9180,10276,8193,11575,7659,7824,11732,9264,9960,7765,10723
"SAUSA300_RS03385",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS03390",3339,3758,3591,3449,4427,3117,3121,4339,3636,3183,3288,3763
"SAUSA300_RS03395",4093,3919,3710,3022,3863,2735,3184,4095,3545,3743,3452,4475
"SAUSA300_RS03400",1401,1386,1403,1319,1703,1065,1227,1724,1284,1490,1275,1680
"SAUSA300_RS03405",2948,2875,2986,2654,3433,2278,2432,3677,2880,3100,2647,3627
"dhaK",2656,2568,3677,2789,3371,2784,2242,3378,3773,2394,2460,3552
"dhaL",1683,2112,2323,1645,1817,1705,1250,2171,2539,1425,1922,2168
"SAUSA300_RS03420",1945,2166,2310,1724,2017,1591,1516,2288,2385,1799,2224,2304
"SAUSA300_RS03425",7587,7520,7852,5761,8782,4915,6149,8775,6236,7061,6453,7596
