"gene_name","WT1","WT2","A1","A2"
"PA14_09440",0,0,3,2
"PA14_09460",0,0,1,2
"PA14_09470",5,4,14,20
"PA14_09480",2,1,5,2
"PA14_09490",488,299,61,75
"PA14_09500",75,77,12,17
"PA14_09520",3,5,17,32
"PA14_09530",0,1,6,4
"PA14_09540",2,2,2,5
"PA14_09550",7,7,24,18
"PA14_09570",1,0,6,9
"PA14_09580",21,10,9,32
"PA14_09600",282,149,228,230
"PA14_09610",12,5,15,13
"PA14_09630",3,1,23,22
"PA14_09660",5,9,15,21
"PA14_09680",23,12,28,31
"PA14_09690",13,14,35,60
"PA14_09700",1,3,23,19
"PA14_09710",4,1,12,11
"PA14_09730",0,1,5,5
"PA14_09740",7,4,9,22
"PA14_09750",9,5,49,73
"PA14_09760",1,1,18,25
"PA14_09770",16,8,52,54
"PA14_09780",1,3,23,13
"PA14_09790",2,2,5,13
"PA14_09810",5,3,24,28
"PA14_09820",137,64,160,176
"PA14_09850",16,14,25,36
"PA14_09870",4,2,13,7
"PA14_09880",0,1,1,0
"PA14_09890",18,9,43,41
"PA14_09900",46,28,64,95
"PA14_09910",6,4,11,23
"PA14_09920",2,1,10,6
"PA14_09930",3,2,9,7
"PA14_09940",0,0,1,3
"PA14_09950",0,1,2,0
"PA14_09960",8,6,22,30
"PA14_09970",33,27,204,227
"PA14_09980",3,3,8,5
"PA14_10010",51,36,126,136
"PA14_10020",2,2,6,5
"PA14_10040",0,3,10,4
"PA14_10050",0,0,3,2
"PA14_10070",1,1,4,4
"PA14_10080",4,2,15,21
"PA14_10090",6,5,16,15
"PA14_10110",4,7,50,58
"PA14_10120",3,2,12,13
"PA14_10130",3,4,29,35
"PA14_10140",2,3,13,9
"PA14_10160",3,1,8,5
"PA14_10170",1,0,6,6
"PA14_10180",0,0,1,7
"PA14_10190",3,1,1,4
"PA14_10200",2,3,15,10
"PA14_10210",4,2,7,16
"PA14_10220",11,8,36,43
"PA14_10230",2,1,70,47
"PA14_10240",0,0,4,0
"PA14_10250",6,5,39,43
"PA14_10260",2,4,16,10
"PA14_10270",0,1,6,7
"PA14_10280",2,2,20,17
"PA14_10290",55,36,95,106
"PA14_10300",0,0,3,1
"PA14_10320",3,3,7,15
"PA14_10330",1,0,3,12
"PA14_10340",2,2,21,18
"PA14_10350",2,1,17,9
"PA14_10370",2,0,8,8
"PA14_10380",4,3,5,10
"PA14_10420",6,0,220,193
"PA14_10440",1,2,81,136
"PA14_10470",4,8,23,29
"PA14_10480",9,13,71,55
"PA14_10490",1,4,2,7
"PA14_10500",12,13,107,83
"PA14_10530",2,1,6,23
"PA14_10540",11,16,22,21
"PA14_10550",525,399,191,261
"PA14_10560",101,88,33,22
"PA14_10570",82,56,23,29
"PA14_10590",39,34,14,30
"PA14_10600",12,4,21,19
"PA14_10610",1,5,9,18
"PA14_10620",0,4,8,14
"PA14_10630",3,3,15,14
"PA14_10640",2,3,18,18
"PA14_10650",0,0,3,10
"PA14_10660",0,0,5,5
"PA14_10670",3,1,37,43
"PA14_10680",0,0,25,28
"PA14_10700",14,11,67,44
"PA14_10710",6,1,8,9
"PA14_10730",0,4,15,16
"PA14_10740",30,13,111,111
"PA14_10750",5,5,45,54
"PA14_10770",88,70,103,107
"PA14_10780",9,3,1,6
"PA14_10790",2,2,5,8
"PA14_10800",7,5,54,51
"PA14_10820",2,0,17,11
"PA14_10830",0,2,15,16
"PA14_10840",13,10,32,34
"PA14_10850",5,3,26,25
"PA14_10870",3,4,21,15
"PA14_10890",2,4,18,34
"PA14_10900",0,4,0,1
"PA14_10910",0,2,21,24
"PA14_10920",2,0,5,4
"PA14_10940",10,10,45,51
"PA14_10950",3,1,5,3
"PA14_10960",5,5,29,29
